City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,66.47,broken clouds,-46.1927,168.8643,Ellie's Villa
2,Ushuaia,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
7,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
8,Bredasdorp,ZA,65.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
9,Carutapera,BR,73.27,overcast clouds,-1.195,-46.02,Lidera
11,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
13,Maldonado,UY,64.22,few clouds,-34.6667,-54.9167,La Cimarrona
15,Paita,PE,71.35,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
17,Rikitea,PF,78.73,broken clouds,-23.1203,-134.9692,People ThankYou
20,Jackson,US,62.02,clear sky,42.4165,-122.8345,Agate Village Apartments
21,Tocopilla,CL,69.64,overcast clouds,-22.092,-70.1979,Hotel Galvarino
22,Tehachapi,US,58.39,clear sky,35.1322,-118.449,"Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St., an IHG Hotel"
23,Blythe,US,72.05,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
24,Hermanus,ZA,65.8,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Waverley,ZA,70.41,overcast clouds,-25.7023,28.2591,Aves Indigo Guesthouse
29,Ahipara,NZ,75.16,clear sky,-35.1667,173.1667,Ahipara Holiday Park
33,Chuy,UY,65.88,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
36,Mananjary,MG,73.98,light rain,-21.2167,48.3333,Vahiny Lodge
38,Yarada,IN,70.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
39,Pisco,PE,68.05,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
40,Ndjole,GA,74.77,few clouds,-0.1783,10.7649,Motel Kédyann
43,Tandil,AR,58.86,broken clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
46,Kagoro,NG,65.61,scattered clouds,9.6,8.3833,Palm Garden Hotel
60,Galle,LK,72.99,overcast clouds,6.0367,80.217,Amangalla
61,Bengkulu,ID,76.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Tamandare,BR,78.24,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
