City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,66.47,30,53,1.39,broken clouds
1,Ligayan,PH,4.6533,119.4706,82.83,74,62,9.8,broken clouds
2,Ushuaia,AR,-54.8,-68.3,51.46,71,75,10.36,broken clouds
3,Qaanaaq,GL,77.484,-69.3632,-9.76,71,39,7.56,scattered clouds
4,Iqaluit,CA,63.7506,-68.5145,-9.31,76,100,0.0,light snow
5,Tasiilaq,GL,65.6145,-37.6368,21.36,95,100,5.37,light snow
6,Vaini,TO,-21.2,-175.2,82.8,77,73,15.52,broken clouds
7,Souillac,MU,-20.5167,57.5167,73.78,83,40,5.75,scattered clouds
8,Bredasdorp,ZA,-34.5322,20.0403,65.28,88,1,6.91,clear sky
9,Carutapera,BR,-1.195,-46.02,73.27,96,100,5.12,overcast clouds
10,Lorengau,PG,-2.0226,147.2712,84.58,69,63,5.75,broken clouds
11,Busselton,AU,-33.65,115.3333,67.05,60,0,12.35,clear sky
12,Chengde,CN,40.9725,117.9361,9.82,61,2,4.52,clear sky
13,Maldonado,UY,-34.6667,-54.9167,64.22,68,21,5.08,few clouds
14,Nikolskoye,RU,59.7035,30.7861,30.87,96,100,8.7,snow
15,Paita,PE,-5.0892,-81.1144,71.35,84,45,11.97,scattered clouds
16,Kapaa,US,22.0752,-159.319,81.12,65,0,3.0,clear sky
17,Rikitea,PF,-23.1203,-134.9692,78.73,75,84,17.45,broken clouds
18,Verkhoyansk,RU,67.5447,133.385,-19.93,97,100,2.35,overcast clouds
19,Champerico,GT,14.3,-91.9167,84.76,61,14,6.26,few clouds
20,Jackson,US,42.4165,-122.8345,62.02,30,0,0.0,clear sky
21,Tocopilla,CL,-22.092,-70.1979,69.64,75,85,9.8,overcast clouds
22,Tehachapi,US,35.1322,-118.449,58.39,18,0,13.0,clear sky
23,Blythe,US,33.6103,-114.5964,72.05,9,0,11.5,clear sky
24,Hermanus,ZA,-34.4187,19.2345,65.8,80,12,2.93,few clouds
25,Albany,US,42.6001,-73.9662,24.46,56,92,4.52,overcast clouds
26,Mamakan,RU,57.8161,114.0028,-28.91,100,93,1.07,overcast clouds
27,Waverley,ZA,-25.7023,28.2591,70.41,88,97,3.44,overcast clouds
28,Bonfim,BR,3.0833,-59.95,83.19,52,83,7.83,broken clouds
29,Ahipara,NZ,-35.1667,173.1667,75.16,51,5,12.06,clear sky
30,Kieta,PG,-6.2167,155.6333,85.12,66,100,2.64,light rain
31,Baykit,RU,61.67,96.37,-20.88,100,70,1.36,broken clouds
32,Kenora,CA,49.8167,-94.4337,-0.42,65,40,5.75,scattered clouds
33,Chuy,UY,-33.6971,-53.4616,65.88,67,62,7.61,broken clouds
34,Hobart,AU,-42.8794,147.3294,86.02,55,75,9.22,broken clouds
35,Cherskiy,RU,68.75,161.3,-36.33,96,54,1.92,broken clouds
36,Mananjary,MG,-21.2167,48.3333,73.98,77,73,4.45,light rain
37,Hun,LY,29.1268,15.9477,44.65,54,65,3.38,broken clouds
38,Yarada,IN,17.65,83.2667,70.12,78,20,2.3,mist
