City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yar-Sale,RU,2022-01-24 03:58:42,66.8333,70.8333,4.01,94,39,13.24
1,Nemuro,JP,2022-01-24 03:58:42,43.3236,145.575,27.03,64,91,8.55
2,Sisimiut,GL,2022-01-24 03:58:43,66.9395,-53.6735,16.56,68,100,22.19
3,Ushuaia,AR,2022-01-24 03:58:43,-54.8,-68.3,46.06,81,75,21.85
4,Mataura,NZ,2022-01-24 03:58:43,-46.1927,168.8643,70.27,35,7,6.76
5,Albany,US,2022-01-24 03:54:55,42.6001,-73.9662,22.8,85,88,1.01
6,Bojnurd,IR,2022-01-24 03:58:44,37.4747,57.329,17.55,86,0,0.0
7,Axim,GH,2022-01-24 03:58:44,4.8699,-2.2405,76.32,89,4,1.86
8,Bluff,NZ,2022-01-24 03:58:45,-46.6,168.3333,56.07,62,33,7.61
9,Rikitea,PF,2022-01-24 03:58:45,-23.1203,-134.9692,78.21,73,100,16.35
10,East London,ZA,2022-01-24 03:58:46,-33.0153,27.9116,70.74,83,0,6.91
11,Mayo,US,2022-01-24 03:58:47,38.8876,-76.5119,34.27,81,100,1.01
12,Hithadhoo,MV,2022-01-24 03:58:47,-0.6,73.0833,82.11,70,96,13.6
13,Punta Arenas,CL,2022-01-24 03:58:47,-53.15,-70.9167,48.31,61,20,21.85
14,Cabo San Lucas,MX,2022-01-24 03:57:17,22.8909,-109.9124,69.51,74,100,5.01
15,Hualmay,PE,2022-01-24 03:58:48,-11.0964,-77.6139,70.9,87,19,8.16
16,Tiksi,RU,2022-01-24 03:58:49,71.6872,128.8694,-7.28,100,100,2.53
17,Presidencia Roque Saenz Pena,AR,2022-01-24 03:58:49,-26.7852,-60.4388,90.34,31,47,8.61
18,Riyadh,SA,2022-01-24 03:56:08,24.6877,46.7219,48.34,31,0,6.35
19,Faanui,PF,2022-01-24 03:58:50,-16.4833,-151.75,81.54,70,92,12.88
20,Flinders,AU,2022-01-24 03:58:50,-34.5833,150.8552,80.06,67,82,4.0
21,Kodiak,US,2022-01-24 03:58:50,57.79,-152.4072,38.71,93,100,29.57
22,Teahupoo,PF,2022-01-24 03:58:51,-17.8333,-149.2667,76.96,78,92,13.82
23,Antakya,TR,2022-01-24 03:58:51,36.2066,36.1572,37.22,99,100,0.22
24,Atuona,PF,2022-01-24 03:58:52,-9.8,-139.0333,78.49,75,11,16.73
25,Barrow,US,2022-01-24 03:55:01,71.2906,-156.7887,3.79,94,100,7.83
26,Oxford,GB,2022-01-24 03:54:19,51.7522,-1.256,41.77,86,100,3.09
27,Vaini,TO,2022-01-24 03:58:53,-21.2,-175.2,87.96,84,40,6.91
28,Ilulissat,GL,2022-01-24 03:58:53,69.2167,-51.1,10.49,69,100,11.27
29,Castro,BR,2022-01-24 03:58:54,-24.7911,-50.0119,64.99,94,70,2.46
30,Khatanga,RU,2022-01-24 03:58:54,71.9667,102.5,-14.21,100,100,6.85
31,Jackson,US,2022-01-24 03:58:54,42.4165,-122.8345,50.45,55,6,2.21
32,Meulaboh,ID,2022-01-24 03:58:55,4.1363,96.1285,83.77,68,42,1.14
33,Lebu,CL,2022-01-24 03:58:55,-37.6167,-73.65,57.45,93,5,9.71
34,Isangel,VU,2022-01-24 03:58:56,-19.55,169.2667,87.91,74,40,4.61
35,Waingapu,ID,2022-01-24 03:58:10,-9.6567,120.2641,87.46,61,56,16.89
36,Saskylakh,RU,2022-01-24 03:58:57,71.9167,114.0833,-21.89,100,100,3.62
37,New Norfolk,AU,2022-01-24 03:58:57,-42.7826,147.0587,81.91,35,100,3.0
38,Tabou,CI,2022-01-24 03:58:58,4.423,-7.3528,76.39,86,3,3.02
39,Audincourt,FR,2022-01-24 03:58:58,47.4833,6.8534,36.48,95,8,6.11
40,Boyuibe,BO,2022-01-24 03:58:58,-20.4167,-63.2833,69.58,87,25,3.33
41,Butaritari,KI,2022-01-24 03:58:59,3.0707,172.7902,82.31,78,100,19.04
42,Pogranichnyy,RU,2022-01-24 03:58:59,44.4064,131.3769,20.61,60,3,0.87
43,Sur,OM,2022-01-24 03:58:08,22.5667,59.5289,68.05,62,0,11.56
44,Hasaki,JP,2022-01-24 03:59:00,35.7333,140.8333,48.6,55,100,25.88
45,Bambanglipuro,ID,2022-01-24 03:59:00,-7.95,110.2833,77.61,67,56,13.22
46,Upata,VE,2022-01-24 03:59:01,8.0086,-62.3989,72.19,84,9,3.13
47,Puerto Ayora,EC,2022-01-24 04:00:01,-0.7393,-90.3518,73.72,89,95,8.63
48,Lasa,IT,2022-01-24 04:00:06,46.6166,10.7002,29.35,64,0,6.06
49,Saint-Philippe,RE,2022-01-24 04:00:08,-21.3585,55.7679,83.75,86,36,12.88
50,Mumford,GH,2022-01-24 04:00:10,5.2618,-0.759,76.5,86,4,3.44
51,Nelson Bay,AU,2022-01-24 04:00:11,-32.7167,152.15,80.29,68,84,3.0
52,Lompoc,US,2022-01-24 04:00:13,34.6391,-120.4579,60.19,68,0,6.04
53,Thompson,CA,2022-01-24 04:00:15,55.7435,-97.8558,-16.62,89,14,9.37
54,Carnarvon,AU,2022-01-24 04:00:15,-24.8667,113.6333,90.66,40,0,21.7
55,Mount Gambier,AU,2022-01-24 04:00:16,-37.8333,140.7667,89.51,25,90,5.55
56,Pevek,RU,2022-01-24 04:00:17,69.7008,170.3133,-12.21,96,100,19.8
57,Redlands,US,2022-01-24 04:00:19,34.0556,-117.1825,61.14,37,0,4.81
58,Ribeira Grande,PT,2022-01-24 04:00:20,38.5167,-28.7,59.56,66,5,6.08
59,Namibe,AO,2022-01-24 04:00:21,-15.1961,12.1522,73.38,90,73,4.63
60,Cabedelo,BR,2022-01-24 03:59:50,-6.9811,-34.8339,77.67,75,44,9.17
61,Tasiilaq,GL,2022-01-24 04:00:22,65.6145,-37.6368,15.96,60,75,7.96
